name,real_name,country,seller_type,sales_count,available_items,rating,approval_very_good,approval_good,approval_neutral,approval_bad,shipping_days,street_address,postal_code,city
evosteelTCG,EvosteelTCG,France,Professional,1605,23,Outstanding,100 %,0 %,0 %,0 %,13,12bis Rue Des Charmes,54310,Homécourt
ExtraBall-Viterbo,Extra Ball,Italy,Professional,1990,1498,Outstanding,100 %,0 %,0 %,0 %,11,Viale Trieste 29/31,01100,Viterbo (VT)
FaberTrading,Faber Trading,Italy,Professional,1023,344342,Outstanding,100 %,0 %,0 %,0 %,14,"Via Bari, 22",65122,Pescara
FablorTCG,FablorTCG,France,Professional,887,32600,Outstanding,100 %,0 %,0 %,0 %,9,4 rue René Cassin,33850,Léognan
FaBMD,Nino Zimmermann,Germany,Professional,1582,37,Very good,96.8 %,1.3 %,1.3 %,0.6 %,12,Sternstraße 28,39104,Magdeburg
fabscards,coderhino gmbh,Austria,Professional,1168,13463,Outstanding,100 %,0 %,0 %,0 %,12,Jägerfeld 6,4651,Stadl-Paura
FacetoFaceGamesNL,Face to Face Games Rotterdam B.V.,Netherlands,Powerseller,200,4814,Outstanding,100 %,0 %,0 %,0 %,11,Hoogstraat 20A,3011PP,Rotterdam
factoriadeljoc,Kopapas SCP,Spain,Professional,16570,41337,Outstanding,98.4 %,0.8 %,0.8 %,0 %,18,Calle pallars 22 bajos,25004,Lleida
FactoryCards,Factory Cards,Spain,Professional,7195,1146,Outstanding,100 %,0 %,0 %,0 %,10,"Avenida de Canillejas a Vicalvaro 61, Local bajo 6",28022,MADRID
FagianiTcg,FAGIANI T.C.G,Italy,Professional,595,6391,Outstanding,100 %,0 %,0 %,0 %,17,Via Argine 26,35016,Piazzola Sul Brenta
Fantamagus-Monza,Nadir di Lizzori Massimo,Italy,Professional,7113,19413,Outstanding,100 %,0 %,0 %,0 %,18,Via Gaetana Agnesi 2,20900,Monza
Fantasia-Shop,Vartholomaios Kontaxis,Greece,Powerseller,7403,79764,Outstanding,100 %,0 %,0 %,0 %,13,Doiranis 74,17672,Kallithea
Fantasialinna,Fantasialinna,Finland,Professional,198,5495,Outstanding,100 %,0 %,0 %,0 %,20,Peltosenkatu 3,60320,Seinäjoki
Fantasianorth,Fantasianorth,Sweden,Professional,38,56,Outstanding,100 %,0 %,0 %,0 %,14,"Västra Esplanaden 7A, Fantasianorth",90325,Umea
FantastischeWelten,Fantastische Welten,Germany,Professional,8037,3991,Outstanding,100 %,0 %,0 %,0 %,15,Kistenmacherstraße 17,18055,Rostock
Fantasy-Island,Fantasy Island,Germany,Professional,11827,23479,Outstanding,100 %,0 %,0 %,0 %,16,Ringweg 15,87600,Kaufbeuren
fantasystronghold,Fantasy Stronghold,Germany,Professional,5206,2312,Outstanding,100 %,0 %,0 %,0 %,11,Kirchstr. 11,71634,Ludwigsburg
FantasyStrongpointBB,Fantasy Strongpoint,Germany,Professional,3030,1155,Outstanding,100 %,0 %,0 %,0 %,11,Sindelfinger Straße 2,71032,Böblingen
Farseek,Farseek GmbH,Germany,Professional,12049,2512,Outstanding,100 %,0 %,0 %,0 %,13,Niedernhausener Straße 49,60326,Frankfurt am Main
FATEX-DISTRIBUTION,FATEX PRO J.D.O.O ZA USLUGE,Croatia,Professional,7272,17393,Outstanding,98.3 %,1.7 %,0 %,0 %,29,Tršćanska Ulica 18,10000,Zagreb
FDCabrerizo,Francisco David Martín Cabrerizo,Spain,Professional,1284,23387,Outstanding,100 %,0 %,0 %,0 %,7,Avenida Blas Infante 35,29120,Alhaurín El Grande
fedefusco,Federica Fusco,Italy,Powerseller,5464,13954,Outstanding,100 %,0 %,0 %,0 %,21,"Via G. Puccini, 90",00041,Albano Laziale
fefCards,Fabian Fromm,Germany,Professional,329,62,Outstanding,100 %,0 %,0 %,0 %,13,Betzelesbuck 1,91589,Aurach
FeralAnima,Feral Anima J.D.O.O,Croatia,Professional,3311,141,Outstanding,100 %,0 %,0 %,0 %,19,Ulica Krste Hegedusica 19,42000,Varazdin
ferci777,Auction Hunters s.r.o.,Slovakia,Professional,7523,2269,Outstanding,98 %,2 %,0 %,0 %,21,Obchodna 41,81106,Bratislava
FergusonCardTraders,Ferguson Card Traders Ltd.,United Kingdom,Professional,684,3148,Outstanding,100 %,0 %,0 %,0 %,14,6 Hunter Avenue,KA22 8BB,Ardrossan
FerryValinor,El Reino de Valinor,Spain,Professional,149,427,Very good,98 %,0 %,2 %,0 %,9,Calle Marquesos De Barbera 47 Local 6,08210,Barbera Del Valles
Feuer-Igel,Feuer Igel,Germany,Professional,12,102,Good,100 %,0 %,0 %,0 %,8,Kattenbrookstrift 83,30539,Hannover
Feuerball-Spiele,Feuerball-Spiele,Germany,Professional,15265,5910,Outstanding,100 %,0 %,0 %,0 %,11,Jöllenbecker Str. 128,33613,Bielefeld
FG-Games,Fabian Gartung,Germany,Powerseller,23380,22528,Outstanding,100 %,0 %,0 %,0 %,19,Wilhelm-Raabe-Str. 66,38471,Rühen
finarfin,PPAM.se Sweden AB,Sweden,Powerseller,6778,167209,Outstanding,99.5 %,0.5 %,0 %,0 %,12,Husarvägen 57,58572,Ljungsbro
FireAndDice,Fire & Dice di Badinotti Diego,Italy,Professional,8631,123332,Outstanding,100 %,0 %,0 %,0 %,17,"Via Enzo Togni, 38",27043,Broni (PV)
Fireball-ostia,Catufa Simone,Italy,Professional,1492,246,Outstanding,99 %,1 %,0 %,0 %,16,Delle Baleari 215,00121,Roma
FiveColors-AT,FiveColors Gamestore,Austria,Professional,1914,10529,Outstanding,100 %,0 %,0 %,0 %,14,Stierberg 9,4153,Peilstein
Fjord-Emporium,Fjord Emporium,Norway,Professional,5237,108671,Outstanding,100 %,0 %,0 %,0 %,20,Langhaugen 18,5093,BERGEN
FKTRD,FKTRD GmbH,Germany,Powerseller,293248,2949370,Outstanding,99.7 %,0.3 %,0 %,0 %,16,Alter Hellweg 60,44379,Dortmund
flashboys,Van den Hanenberg Trading,Netherlands,Professional,35247,498037,Outstanding,99.6 %,0.4 %,0 %,0 %,24,Kleine Haarsekade 102,4205VE,Gorinchem
flatflow777,OnlineSammelkarten,Germany,Professional,25027,8949,Outstanding,100 %,0 %,0 %,0 %,16,Thomas-Mann-Str. 6,10409,Berlin
Fliiply,Nexelab,France,Professional,49,6,Good,100 %,0 %,0 %,0 %,13,26 Rue Des Grandes Terres,74330,Epagny
FMGames-Comics,FM - Games&Comics,Spain,Professional,1561,13554,Outstanding,100 %,0 %,0 %,0 %,7,Avda. Gral. López Domínguez 14,29603,Marbella
FMR-cards,FMR,France,Professional,202363,637712,Outstanding,99.6 %,0.2 %,0.2 %,0 %,19,24 rue Brauhauban,65000,Tarbes
FoilFinder,Alexander Birner,Austria,Professional,232,2922,Outstanding,100 %,0 %,0 %,0 %,12,Sonnenhügel 23,4901,Ottnang Am Hausruck
Forbiddenplanet,Forbidden Planet (Scotland) Ltd,United Kingdom,Professional,3944,466,Outstanding,100 %,0 %,0 %,0 %,12,"3 212a Jubilee House, The Drive",CM13 3FR,Brentwood
forgeandfinds,Forge and Finds,United Kingdom,Professional,2022,894,Outstanding,100 %,0 %,0 %,0 %,12,"Forge and Finds, 36 Lloyd’s Avenue",IP13HD,Ipswich
FoxgloveFoilCards,Foxglove & Foil Cards LTD,United Kingdom,Professional,334,4311,Outstanding,100 %,0 %,0 %,0 %,16,8 Warren Park,PL67QR,Plymouth
Frankecards,Erik Franke,Germany,Professional,2361,95,Outstanding,100 %,0 %,0 %,0 %,13,Baedekerstraße 2,04317,Leipzig
FREAK-CORP,Luis Manuel Lorenzo Soto,Spain,Professional,14991,40794,Outstanding,96.8 %,2.4 %,0.8 %,0 %,14,"c/ Hispanoamerica 11, 2º 1",03320,Torrellano Elche
FREAKSHOWSTORE,FREAKSHOW STORE GIRONA,Spain,Professional,2698,11296,Outstanding,100 %,0 %,0 %,0 %,7,"C/DE LA SÈQUIA, 21",17001,GIRONA
freaktime,FREAKTIME,Spain,Professional,711,11765,Outstanding,100 %,0 %,0 %,0 %,9,Maestro Valls 5 Bajo,46022,Valencia
Freshmkr,Freshmkr Games&Supplies,Austria,Powerseller,1884,465,Outstanding,100 %,0 %,0 %,0 %,12,Hof 16,4906,Eberschwang
FrogPoweredRobot,FrogPoweredRobot,United Kingdom,Professional,22277,31436,Outstanding,100 %,0 %,0 %,0 %,12,9 Edgebank Avenue,BD6 2SW,Bradford
Fronic,Andreas Weckop,Germany,Professional,4758,827,Outstanding,100 %,0 %,0 %,0 %,11,Compesmühlenweg 54,41065,Mönchengladbach
Frostin,Florian Groening,Germany,Professional,5908,17057,Outstanding,100 %,0 %,0 %,0 %,13,Am Bahndamm 1A,21365,Adendorf
FrostMagic,FROST MAGIC Patrycja Mróz,Poland,Powerseller,9395,220789,Outstanding,100 %,0 %,0 %,0 %,18,Grunwaldzka 39,43-600,Jaworzno
FrozenCardGaming,Loa Strandberg,Sweden,Professional,17106,9000,Outstanding,100 %,0 %,0 %,0 %,14,Gånglåten 28,42146,Västra Frölunda
FrozenCardsTCG,Frozen Cards GmbH,Germany,Professional,3338,41751,Outstanding,100 %,0 %,0 %,0 %,11,Mallnitzer Weg 6a,58454,Witten
FTSCollectables,Andrew Minnis,United Kingdom,Professional,6817,13457,Outstanding,100 %,0 %,0 %,0 %,14,99a Bathurst Gardens,NW10 5JJ,London
fu-gu,Fu-Gu,Germany,Professional,11262,55845,Outstanding,100 %,0 %,0 %,0 %,15,"Im Kaisemer, 9",70191,Stuttgart
Fuhrious-TC,Fuhrious Trading Cards,Germany,Professional,18115,14649,Outstanding,99.7 %,0.3 %,0 %,0 %,16,Rablinghauser Landstraße 19,28197,Bremen
Fukano1706,Paul Mittmann,Germany,Professional,1820,482,Outstanding,100 %,0 %,0 %,0 %,11,Wartenberger Str 70,13053,Berlin
Fumetteria-Eclissi,Fumetteria Eclissi,Italy,Professional,880,15,Outstanding,97 %,3 %,0 %,0 %,14,Via Verdi 18,24121,Bergamo (BG)
fumetteriaakiba,Fumetteria Akiba,Italy,Powerseller,95,1645,Outstanding,98.9 %,1.1 %,0 %,0 %,16,Corso Italia 80,80062,Meta
FumetteriaGeco,Fumetteria Geco di Di Carlo Laura,Italy,Professional,62,3132,Outstanding,100 %,0 %,0 %,0 %,14,San Carlo 23,40066,Pieve Di Cento
fumettopoli,Fumettopoli di Angelo Rossi,Italy,Professional,13051,426570,Outstanding,100 %,0 %,0 %,0 %,15,Via Piave 24,52100,Arezzo
fungames67,FUN OCCAZ,France,Professional,174,34,Outstanding,100 %,0 %,0 %,0 %,11,18 Rue Des Bouleaux,67460,SOUFFELWEYERSHEIM
Funtastic,FANTASTIK s.r.o.,Slovakia,Powerseller,17323,133624,Outstanding,100 %,0 %,0 %,0 %,11,Obchodná 14,81106,Bratislava
FynnofMagic,Fynn Karstens,Germany,Professional,1505,43692,Outstanding,100 %,0 %,0 %,0 %,11,Heinrich-von-Stephan-Str. 1,37001,Göttingen
G3SkedioTCG,G3Skedio SL,Spain,Professional,22105,13524,Outstanding,99.2 %,0.4 %,0 %,0.4 %,12,C/ Luis Ponce De Leon Nº2C,14011,Córdoba
GalacticHQ,Felix Brenner,Germany,Professional,6,294,Good,100 %,0 %,0 %,0 %,9,Alter Kirchenweg 9,22844,Norderstedt
Galactus-Roma,Galactus Roma S.R.L.,Italy,Powerseller,150629,1010705,Outstanding,99.1 %,0.5 %,0.4 %,0 %,16,Via Alessandro Malladra 16,00157,Roma
GalaktikStore,Galaktik Group srls,Italy,Professional,209,583,Outstanding,99 %,1 %,0 %,0 %,14,Via Olaf Palme 22,06083,Bastia Umbra (PG)
GalarianCards,GalarianCards,Spain,Professional,103,71,Outstanding,97.5 %,2.5 %,0 %,0 %,7,San Juan Bosco 16,04005,Almeria
GalaxieGames,Galaxie Games,France,Professional,864,11419,Outstanding,100 %,0 %,0 %,0 %,9,"Galaxie Games, Centre Commercial VIv'Erdre",44240,La Chapelle-sur-Erdre
GameCorner,Game Corner,United Kingdom,Professional,4173,3757,Outstanding,98.6 %,0.7 %,0.7 %,0 %,12,"Whitnash, Leamington Spa",CV312JU,Warwickshire
GameForce,GameForce VOF,Netherlands,Powerseller,36855,521109,Outstanding,100 %,0 %,0 %,0 %,16,Geldropseweg 83,5611SE,Eindhoven
GameKnightTCG,Game Knight,Greece,Professional,40,804,Good,100 %,0 %,0 %,0 %,11,Thiseos 40,15124,Athens
GAMEON,GAME ON,Greece,Powerseller,44926,835988,Outstanding,99 %,0.8 %,0.2 %,0 %,24,Mesogeion 41,11526,Athens
GamePeopleQuartu,GamePeople,Italy,Powerseller,2518,15635,Outstanding,100 %,0 %,0 %,0 %,16,Via Eligio Porcu 65,09045,Quartu Sant'elena
GamerGift,GamerGift.nl,Netherlands,Professional,44,838,Outstanding,100 %,0 %,0 %,0 %,11,Jan Van Henegouwenstraat 10,2405ZJ,Alphen Aan Den Rijn
GamersAcademy,GamersAcademy,Austria,Professional,15824,26947,Outstanding,98.9 %,1.1 %,0 %,0 %,23,Bahnstrasse 11,2540,Bad Vöslau
GamersDojo,Tony Rados,Germany,Powerseller,25118,35962,Outstanding,100 %,0 %,0 %,0 %,11,Maxim-Gorki-Str. 9b,17491,Greifswald
GamersDomain,Gamers Domain,Germany,Professional,10360,30411,Outstanding,100 %,0 %,0 %,0 %,16,Dieckhoffskamp 25,48291,Telgte
GamersPalma,GamersPalma,Spain,Powerseller,357,3589,Outstanding,100 %,0 %,0 %,0 %,9,Eusebi Estada N67 Bajos,07004,Palma De Mallorca
GamerzParadize,GamerzParadize B.V.,Netherlands,Powerseller,91548,49844,Outstanding,100 %,0 %,0 %,0 %,16,Looierstraat 50,6811AZ,Arnhem
Games-Island,Games Island GmbH & Co. KG,Germany,Powerseller,577872,187863,Outstanding,99.5 %,0.4 %,0.1 %,0 %,16,Luitpoldstrasse 13,95028,Hof
Games-Shop,Games & Comics Shop,Italy,Professional,1052,255,Outstanding,100 %,0 %,0 %,0 %,14,Via Etnea 692/B,95128,Catania
GamesandGeekery,Games & Geekery,Netherlands,Professional,2972,4430,Outstanding,100 %,0 %,0 %,0 %,13,Boterstraat 2d,6701CW,Wageningen
gamesnstuff,Games-N-Stuff,Netherlands,Professional,6832,22299,Outstanding,100 %,0 %,0 %,0 %,16,G. Stephensonstraat 18A,8013NK,Zwolle
GamesTimeAlzate,GAMESTIME ALZATE BRIANZA,Italy,Powerseller,1246,11173,Outstanding,99 %,1 %,0 %,0 %,21,VIA IV NOVEMBRE 621,22040,ALZATE BRIANZA
gamestimeLT,Games Time Lamezia Terme,Italy,Professional,195,1692,Outstanding,98 %,1 %,0 %,1 %,17,Michelangelo 15/17,88046,Lamezia Terme
Gamestimepalermo,Games Time Palermo Centro,Italy,Professional,104,950,Outstanding,99 %,1 %,0 %,0 %,16,Via Flavio Gioia 60,90145,Palermo
GamesTimeScandicci,Jakov & Kriko srl,Italy,Professional,1,1,,,,,,0,Via Gioacchino Rossini 17,50019,Sesto Fiorentino
GamesToYou,CloseToYou di Lino Garbellini,Italy,Professional,333,3108,Very good,98 %,0 %,2 %,0 %,18,Viale Sarca 330,20126,Milano
Gametrade-Empire,Frederic Weihmann,Germany,Professional,5513,31534,Outstanding,100 %,0 %,0 %,0 %,11,Hildastraße 3a,69115,Heidelberg
GAMIC,Morfeo di Lippi Alessandro,Italy,Professional,13257,529117,Outstanding,100 %,0 %,0 %,0 %,14,Piazza Bertagnini 10,54100,MASSA
gamingday,Gamingday,Spain,Professional,966,577,Outstanding,100 %,0 %,0 %,0 %,8,"C. De Ramón Gómez Sempere, 12 LOCAL Gamingday",03008,Alicante
Gamustore,El Gamusino,Spain,Professional,6731,68095,Outstanding,100 %,0 %,0 %,0 %,7,Plaza San Benito 8 Local 2,05003,Ávila
Garr0n,Yann Provolo,France,Powerseller,2613,359178,Outstanding,99.6 %,0.4 %,0 %,0 %,12,8 Rue Servandoni,75006,Paris
Gary2574,DinosCCG's,United Kingdom,Professional,15924,42804,Outstanding,100 %,0 %,0 %,0 %,14,8 Millers Croft,CM6 3AY,Great Dunmow
Gazcards,Castle Comics UK LTD,United Kingdom,Professional,4488,71,Outstanding,100 %,0 %,0 %,0 %,12,"Unit 37 Princes Mall, Princes Mall",G74 1LB,East Kilbride
Gear-Head-Games,Gear Head Games,United Kingdom,Professional,12000,35299,Outstanding,99.7 %,0.3 %,0 %,0 %,14,3 Parkhill Way,WF1 5FS,Wakefield
GeekFactoryMatignon,GeekFactoryMatignon,France,Powerseller,4780,16116,Outstanding,99.5 %,0.5 %,0 %,0 %,14,11 Espace Des Halles,22550,Matignon
GeekFactoryRennes,United States of Smash,France,Professional,1118,26073,Outstanding,97 %,2 %,1 %,0 %,9,7 Allée Morvan Lebesque,35700,Rennes
Geekisland,Geek Island,France,Professional,2308,29589,Outstanding,98.8 %,0.6 %,0.6 %,0 %,12,74 Rue Paul Doumer,76600,Le Havre
Geekkaos,Geekkaos SLU,Spain,Professional,1437,26,Outstanding,100 %,0 %,0 %,0 %,9,Jaume Isern 69 Local,08302,Mataró
GeekLand,Bruno Serafino,France,Professional,5849,1403,Very good,98 %,0 %,1 %,1 %,16,540 chemin de la garduelle,83830,BARGEMON
GeekParadise-Tom,Geek Paradise,Spain,Professional,9834,151322,Outstanding,98.6 %,0.7 %,0.7 %,0 %,9,"Reyes católicos, 7",13700,Tomelloso
GeekRetreatCardiff,Vault Viking Ltd,United Kingdom,Professional,95,28,Outstanding,98.6 %,0 %,1.4 %,0 %,12,2 Barry Lane,CF10 1AF,Cardiff
GeekRetreatKettering,Make Your Own Path Ltd,United Kingdom,Professional,1357,359,Outstanding,99 %,1 %,0 %,0 %,12,10-12 High Street,NN168ST,Kettering
GeekSama,SARL GEEKSAMA,France,Professional,327,70,Outstanding,100 %,0 %,0 %,0 %,11,10 place des ducs richard,76400,Fecamp
Geeksheaven,Geeksheaven,Germany,Professional,2047,11390,Outstanding,98.8 %,0.6 %,0.6 %,0 %,19,Daunerstraße 4,53919,Weilerswist
Gemtenonly,OnlyGems,Germany,Powerseller,8090,1824,Outstanding,100 %,0 %,0 %,0 %,8,Paulinstraße 45,54292,Trier
GENEX-SANTACASILDA,GENEX COMICS SL,Spain,Professional,5529,456492,Outstanding,100 %,0 %,0 %,0 %,9,C/SANTA CASILDA 3,28005,MADRID
GENEXCOMICS,Daniel Martin Bermejo,Spain,Powerseller,50811,1346148,Outstanding,99.7 %,0.3 %,0 %,0 %,11,Calle Elfo 98,28027,Madrid
GeraintUltimus,Geraint Morgan,United Kingdom,Professional,11539,4482,Outstanding,100 %,0 %,0 %,0 %,14,1 Railway Terrace,LD2 3RH,"Builth Road, Powys"
Geronator,Magic Booster Box,Germany,Powerseller,5480,135247,Outstanding,100 %,0 %,0 %,0 %,16,Clara-Staiger-Str. 28,85072,Eichstätt
GerryFallova,GerryFallova Card Sales,United Kingdom,Professional,9251,15211,Outstanding,99.3 %,0.7 %,0 %,0 %,19,34 st. Michael's Court,SR2 8JU,Sunderland
GersteHL,JM Collectibles,Germany,Professional,3193,34759,Outstanding,99.1 %,0.9 %,0 %,0 %,11,Hans-Kohlmorgen-Ring 1f,23617,Stockelsdorf
GG-GoodGame,GG-GoodGame,Italy,Professional,6038,11720,Very good,100 %,0 %,0 %,0 %,20,Via Masini 25,50053,Empoli
ggmagic,The Games Guild,Netherlands,Professional,22908,99004,Outstanding,100 %,0 %,0 %,0 %,24,Van Nesstraat 1A,2404AV,Alphen Aan Den Rijn
Ghostcards,Ghostcards,Germany,Powerseller,49203,134,Very good,98.4 %,0 %,1.6 %,0 %,11,Wallstr. 5,46535,Dinslaken
GhostHuskyGames,Ghost Husky Ltd,United Kingdom,Professional,1164,316,Outstanding,100 %,0 %,0 %,0 %,14,Geek Retreat Hartlepool 105a York Road,TS26 9DH,Hartlepool
GHOULECTOR,GHOULECTOR,Netherlands,Powerseller,300,7124,Outstanding,100 %,0 %,0 %,0 %,13,Maandereind 69,6711AB,Ede
Giulio-Iaco,Magic&Dragons,Italy,Professional,789,776,Outstanding,100 %,0 %,0 %,0 %,13,Via Ancona 86,86039,Termoli
GKF-Charleville,Sarl Brain Catalyst,France,Professional,2316,229,Outstanding,100 %,0 %,0 %,0 %,14,1 rue du petit bois,08000,Charleville-mezières
GladiusGames,Gladius Games,Spain,Professional,41,8843,Outstanding,100 %,0 %,0 %,0 %,10,Cánovas Del Castillo 5 Local 6,28807,Alcalá De Henares
GlimmerBarnGames,Glimmer Barn Games,United Kingdom,Professional,13617,175395,Outstanding,100 %,0 %,0 %,0 %,18,Dukestown Lane 2,BT668TB,Lurgan
GlitchlessGameStore,Glitchless,Germany,Professional,184,73,Outstanding,100 %,0 %,0 %,0 %,11,Kaiserstraße 72,55116,Mainz
globalgaming,GlobalGaming Arena,United Kingdom,Professional,4937,16387,Outstanding,99 %,1 %,0 %,0 %,12,15 Shaw's Passage,B55JG,Birmingham
Gloktha,Christian Buhlrich,Germany,Professional,1468,1361,Outstanding,100 %,0 %,0 %,0 %,11,Sahrener Weg 36,27777,Ganderkesee
GnD-Cards,GnD Cards,Greece,Professional,14817,201481,Outstanding,100 %,0 %,0 %,0 %,11,CHALDEIAS 43,55133,Thessaloniki
Goat-enterprise,Goat-enterprise,Netherlands,Powerseller,126076,1073739,Outstanding,100 %,0 %,0 %,0 %,16,Dorpsdijk 143,3161CA,Rhoon
Goblin-Games,Goblin-Games,Germany,Powerseller,33282,337956,Outstanding,100 %,0 %,0 %,0 %,21,Heinrich-Imig-Platz 3,31171,Nordstemmen
Goblinen,Röda Goblinen AB,Sweden,Professional,592,60823,Outstanding,100 %,0 %,0 %,0 %,14,Sigurdsgatan 35C,72130,Västerås
godotek66,Dariusz Tarka,Poland,Professional,4136,640,Outstanding,100 %,0 %,0 %,0 %,20,"Kaszubska 3/U7,",70-403,Szczecin
GoldenStoreRoma,Mellon Snc Di Lorenzo Bianchini & C,Italy,Professional,3079,130108,Outstanding,100 %,0 %,0 %,0 %,23,Via Adolfo Albertazzi 74/76,00137,Roma
Gondorman,Cardasse,France,Professional,12049,23398,Outstanding,99.3 %,0.7 %,0 %,0 %,11,24 rue Marechal Foch,22370,Pleneuf Val Andre
GoodGameGuysLTD,Good Game Guys,Bulgaria,Professional,27,4123,Good,100 %,0 %,0 %,0 %,10,Ivan Hadzhidimitrov 9,5000,Veliko Tarnovo
GoodGamesBern,GoodGames,Switzerland,Professional,14179,4350,Outstanding,100 %,0 %,0 %,0 %,6,Parkterrasse 14,3012,Bern
Goodlookgamer,Very Cool Card Games,Netherlands,Professional,5572,39845,Outstanding,100 %,0 %,0 %,0 %,16,Rottekade 230,2661JW,Bergschenhoek
goodman123,Johan Oosterhuis,Netherlands,Professional,4654,8531,Outstanding,100 %,0 %,0 %,0 %,27,Richterlaan 10-3,9207JV,Drachten
GotchaTCG,BACCHUS,France,Professional,194,932,Outstanding,100 %,0 %,0 %,0 %,12,150 Rte de Bandol,83110,Sanary Sur Mer
GoxhillGames,Goxhill Games,United Kingdom,Professional,595,4767,Outstanding,100 %,0 %,0 %,0 %,12,Cornhill Cottage,DN19 7HX,Goxhill
GPKGames,Gamepark,United Kingdom,Professional,6418,147815,Outstanding,99.3 %,0.7 %,0 %,0 %,14,Gamepark 2 Northgate Street,SY23 2JS,ABERYSTWYTH
GrandeInverno,Grande Inverno,Italy,Professional,1236,2302,Outstanding,100 %,0 %,0 %,0 %,16,Via Beato Cesidio 35,67100,L'Aquila
GRChelmsford,Geek Retreat Chelmsford,United Kingdom,Professional,318,17,Outstanding,100 %,0 %,0 %,0 %,14,48 Cunard Square,CM1 1AQ,Chelmsford
GreenVents,GREENVENTS,France,Professional,17,641,Good,100 %,0 %,0 %,0 %,11,11 Place Du Général De Gaulle,59310,Auchy Lez Orchies
Greg59,SAS BLACK LOTUS SOCIETY,France,Powerseller,5904,32599,Outstanding,100 %,0 %,0 %,0 %,9,512 Rue Bouillibaye,83140,Six Fours Les Plages
GremioDeDragones,Gremio de Dragones,Spain,Professional,22907,831759,Outstanding,98 %,2 %,0 %,0 %,7,"C/ Domingo Gómez 35, bajo",46025,Valencia
Grouphug,Grouphug,Denmark,Professional,4459,33311,Outstanding,100 %,0 %,0 %,0 %,10,Hestemøllestræde 1b 2 tv,4200,Slagelse
GS-GameOn,GS-GameOn SNC di Santoni Lorenzo & Graziuso Mattia,Italy,Professional,25111,7471,Outstanding,97.6 %,1.6 %,0.8 %,0 %,16,Via dei Pratoni 9 interno 11,50018,Scandicci - FI
GuildeDuDragon,Guilde du Dragon,France,Professional,26,692,Good,100 %,0 %,0 %,0 %,12,22 Rue De La Carreterie,84000,Avignon
guildmage-pl,Mozaik Sp. z o.o.,Poland,Professional,1216,4827,Outstanding,98.5 %,1.5 %,0 %,0 %,20,Długa 10,31-146,Kraków
GUILLOU92G,Gamecash Clermont-ferrand,France,Professional,3079,128,Outstanding,98.4 %,1.6 %,0 %,0 %,12,28 RUE DU 11 NOVEMBRE,63000,CLERMONT FERRAND
Gunship-Games,Gunship Games,Germany,Powerseller,40568,124970,Outstanding,99.7 %,0.3 %,0 %,0 %,11,Wippenhauser Str. 26,85354,Freising
Gurrusgur,El Trastero Mágico,Spain,Professional,913,4136,Outstanding,97.6 %,1.6 %,0.8 %,0 %,12,Marqués de Celada 8,38202,San Cristóbal De La Laguna
GustavosGans,GustavosGans,Germany,Professional,1445,9802,Outstanding,100 %,0 %,0 %,0 %,14,Sigurd Allee 14,35085,Ebsdorfergrund
GWBM-,Giles Mann,United Kingdom,Professional,8400,15510,Outstanding,100 %,0 %,0 %,0 %,12,"7 Bishops Walk, Cricklade Street",GL7 1JH,Cirencester
HAAST72,Thomas Haas,Germany,Professional,19240,42870,Outstanding,100 %,0 %,0 %,0 %,19,Hirzleierstrasse 6,54472,Burgen
Hafra,Hafra,Germany,Professional,7036,121982,Outstanding,100 %,0 %,0 %,0 %,11,Wüllnerstr. 130,50931,Köln
Hall-of-Cards,Hall of Cards,Germany,Professional,1617,28,Outstanding,100 %,0 %,0 %,0 %,16,Vogesenallee 6a,75173,Pforzheim
HallofGames,"Lars Lindenhahn ""Hall of Games""",Germany,Professional,74920,40309,Outstanding,98.8 %,1.2 %,0 %,0 %,14,Hansering 11,06108,Halle
HallofHeroes,Hall of Heroes,Italy,Professional,395,7579,Outstanding,100 %,0 %,0 %,0 %,14,Via Donatello 9,10088,Volpiano (TO)
halmeshule,Halmes Hule,Denmark,Professional,43,1,Outstanding,100 %,0 %,0 %,0 %,8,"Søndergade 7A, St. Tv.",5000,Odense
hamanito,Raphael Albang,Germany,Professional,32502,15699,Outstanding,98.8 %,0.6 %,0.6 %,0 %,21,Nürnberger Str. 6,92539,Schönsee
HamelinGames,HAMELIN GAMES,Spain,Professional,19764,108243,Outstanding,100 %,0 %,0 %,0 %,11,"Riera Figuera Major, 43",08304,Mataró
HammerOfWar,Federico Martelli,Italy,Professional,1066,7578,Outstanding,100 %,0 %,0 %,0 %,18,Via Agostino de pretis 32,58100,Grosseto
Hand-of-Honor,Hand-of-Honor,Germany,Professional,6456,116,Outstanding,100 %,0 %,0 %,0 %,19,Bernhard-F.-Str. 13,50969,Köln
HappyEgg,Just Hemelaar,Netherlands,Professional,2495,22757,Outstanding,100 %,0 %,0 %,0 %,13,Kastanjelaan 19,2351NE,Leiderdorp
HARAKESH,HARAKESH B.V.,Netherlands,Professional,30395,323355,Outstanding,100 %,0 %,0 %,0 %,21,Meindert Hobbemastraat 1,3314HR,Dordrecht
HasardLudiqueMons,Axel D'haeyere,Belgium,Professional,1983,1692,Outstanding,100 %,0 %,0 %,0 %,12,"Grand Rue, 12",7000,Mons
HASEK-SHOP,HASEK-SHOP,Czech Republic,Professional,1693,20527,Outstanding,100 %,0 %,0 %,0 %,25,Karla Engliše 2,15000,Praha 5
