name,version,rarity,card_number,set,image_url,available_items,price_from,price_trend,avg_30_days,avg_7_days,avg_1_day
Doomsday Excruciator,,Rare,94,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788423/788423.jpg,3631,"0,10 €","0,28 €","0,28 €","0,24 €","0,21 €"
Drag to the Roots,,Uncommon,213,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786597/786597.jpg,7675,"0,02 €","0,15 €","0,15 €","0,14 €","0,11 €"
Duskmourn's Domination,,Uncommon,50,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788431/788431.jpg,9401,"0,02 €","0,04 €","0,03 €","0,02 €","0,02 €"
Emerge from the Cocoon,,Common,5,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786368/786368.jpg,16677,"0,02 €","0,06 €","0,06 €","0,05 €","0,05 €"
Enduring Courage,,Rare,133,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788173/788173.jpg,1001,"1,00 €","1,75 €","1,78 €","1,78 €","2,04 €"
Enduring Curiosity,,Rare,51,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788263/788263.jpg,570,"4,49 €","7,42 €","7,01 €","7,26 €","8,98 €"
Enduring Innocence,,Rare,6,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786861/786861.jpg,1784,"3,49 €","4,70 €","4,78 €","4,75 €","4,86 €"
Enduring Tenacity,,Rare,95,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786442/786442.jpg,999,£1.89,"3,81 €","3,66 €","3,70 €","3,66 €"
Enduring Vitality,,Rare,176,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788124/788124.jpg,1258,£2.49,"4,06 €","4,01 €","3,95 €","3,58 €"
Enter the Enigma,,Common,52,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786383/786383.jpg,11298,"0,02 €","0,15 €","0,15 €","0,13 €","0,15 €"
Entity Tracker,,Rare,53,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788294/788294.jpg,1539,"0,25 €","0,64 €","0,86 €","0,63 €","0,49 €"
Erratic Apparition,,Common,54,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788171/788171.jpg,16764,"0,02 €","0,02 €","0,05 €","0,02 €","0,02 €"
Etched Cornfield,,Common,258,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786617/786617.jpg,10147,"0,02 €","0,07 €","0,09 €","0,08 €","0,02 €"
Ethereal Armor,,Uncommon,7,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786369/786369.jpg,3687,"0,02 €","0,29 €","0,28 €","0,31 €","0,28 €"
Exorcise,,Uncommon,8,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786370/786370.jpg,4200,"0,05 €","0,34 €","0,35 €","0,33 €","0,30 €"
Fanatic of the Harrowing,,Common,96,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786448/786448.jpg,16324,"0,02 €","0,07 €","0,08 €","0,12 €","0,02 €"
Fear of Abduction,,Uncommon,9,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788228/788228.jpg,9264,"0,02 €","0,07 €","0,08 €","0,06 €","0,15 €"
Fear of Being Hunted,,Uncommon,134,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788150/788150.jpg,9042,"0,02 €","0,09 €","0,07 €","0,09 €","0,04 €"
Fear of Burning Alive,,Uncommon,135,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788256/788256.jpg,10114,"0,02 €","0,10 €","0,11 €","0,08 €","0,04 €"
Fear of Exposure,,Uncommon,177,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788259/788259.jpg,9135,"0,02 €","0,05 €","0,07 €","0,04 €","0,02 €"
Fear of Failed Tests,,Uncommon,55,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788298/788298.jpg,8910,"0,02 €","0,08 €","0,09 €","0,07 €","0,02 €"
Fear of Falling,,Uncommon,56,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786387/786387.jpg,9364,"0,02 €","0,05 €","0,08 €","0,06 €","0,06 €"
Fear of Immobility,,Common,10,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788300/788300.jpg,16462,"0,02 €","0,05 €","0,04 €","0,03 €","0,02 €"
Fear of Impostors,,Uncommon,57,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788231/788231.jpg,7508,"0,02 €","0,15 €","0,15 €","0,16 €","0,09 €"
Fear of Infinity,,Uncommon,214,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786598/786598.jpg,9033,"0,02 €","0,06 €","0,08 €","0,09 €","0,05 €"
Fear of Isolation,,Uncommon,58,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786392/786392.jpg,6009,£0.02,"0,17 €","0,26 €","0,21 €","0,05 €"
Fear of Lost Teeth,,Common,97,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786495/786495.jpg,15206,"0,02 €","0,02 €","0,09 €","0,02 €","0,02 €"
Fear of Missing Out,,Rare,136,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786822/786822.jpg,1215,"4,40 €","5,00 €","5,14 €","5,07 €","5,66 €"
Fear of Surveillance,,Common,11,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786371/786371.jpg,16243,"0,02 €","0,03 €","0,05 €","0,04 €","0,02 €"
Fear of the Dark,,Common,98,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786496/786496.jpg,16517,"0,02 €","0,06 €","0,07 €","0,07 €","0,03 €"
Final Vengeance,,Common,99,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786819/786819.jpg,14899,"0,02 €","0,09 €","0,07 €","0,07 €","0,27 €"
Flesh Burrower,,Common,178,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788227/788227.jpg,15622,"0,02 €","0,11 €","0,08 €","0,07 €","0,04 €"
Floodfarm Verge,,Rare,259,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786618/786618.jpg,810,"6,94 €","8,43 €","8,42 €","8,55 €","8,98 €"
Floodpits Drowner,,Uncommon,59,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786394/786394.jpg,2500,"0,10 €","0,79 €","0,63 €","0,66 €","1,30 €"
Forest,V.1,Land,276,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786630/786630.jpg,6556,£0.06,"0,29 €","0,37 €","0,31 €","0,20 €"
Forest,V.2,Land,285,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788237/788237.jpg,5628,"0,04 €","0,12 €","0,11 €","0,11 €","0,24 €"
Forest,V.3,Land,286,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788172/788172.jpg,5186,"0,05 €","0,13 €","0,13 €","0,13 €","0,08 €"
Found Footage,,Common,246,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788290/788290.jpg,16581,"0,02 €","0,04 €","0,05 €","0,04 €","0,10 €"
Frantic Strength,,Common,179,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788266/788266.jpg,15950,"0,02 €","0,12 €","0,07 €","0,07 €","0,02 €"
Friendly Ghost,,Common,12,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786870/786870.jpg,16523,"0,02 €","0,02 €","0,03 €","0,02 €","0,02 €"
Friendly Teddy,,Common,247,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788269/788269.jpg,7471,"0,02 €","0,16 €","0,10 €","0,11 €","0,35 €"
Funeral Room // Awakening Hall,,Mythic,100,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786857/786857.jpg,1166,"1,99 €","4,29 €","3,95 €","4,19 €","3,83 €"
Get Out,,Uncommon,60,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786867/786867.jpg,6109,£0.02,"0,17 €","0,22 €","0,20 €","0,08 €"
Ghost Vacuum,,Rare,248,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788130/788130.jpg,1441,£2.24,"4,21 €","4,17 €","4,22 €","3,86 €"
Ghostly Dancers,,Rare,13,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788255/788255.jpg,3961,"0,02 €","0,28 €","0,25 €","0,31 €","0,30 €"
Ghostly Keybearer,,Uncommon,61,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788232/788232.jpg,9175,"0,02 €","0,04 €","0,09 €","0,06 €","0,02 €"
Give In to Violence,,Common,101,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786877/786877.jpg,16455,"0,02 €","0,07 €","0,04 €","0,04 €","0,03 €"
Glassworks // Shattered Yard,,Common,137,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786516/786516.jpg,15932,"0,02 €","0,10 €","0,08 €","0,09 €","0,02 €"
Glimmer Seeker,,Uncommon,14,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788415/788415.jpg,9190,"0,02 €","0,11 €","0,07 €","0,10 €","0,08 €"
Glimmerburst,,Common,62,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786859/786859.jpg,16152,"0,02 €","0,07 €","0,06 €","0,02 €","0,02 €"
Glimmerlight,,Common,249,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786615/786615.jpg,16031,"0,02 €","0,09 €","0,08 €","0,07 €","0,02 €"
Gloomlake Verge,,Rare,260,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786872/786872.jpg,959,"8,99 €","10,95 €","10,74 €","11,04 €","10,94 €"
Grab the Prize,,Common,138,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786876/786876.jpg,4987,"0,02 €","0,28 €","0,33 €","0,31 €","0,35 €"
Grand Entryway // Elegant Rotunda,,Common,15,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786372/786372.jpg,15116,"0,02 €","0,04 €","0,09 €","0,04 €","0,03 €"
Grasping Longneck,,Common,180,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788246/788246.jpg,16478,"0,02 €","0,05 €","0,06 €","0,05 €","0,02 €"
Greenhouse // Rickety Gazebo,,Uncommon,181,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786558/786558.jpg,8295,"0,02 €","0,20 €","0,13 €","0,22 €","0,50 €"
Gremlin Tamer,,Uncommon,215,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786846/786846.jpg,7809,"0,02 €","0,14 €","0,13 €","0,14 €","0,12 €"
Grievous Wound,,Rare,102,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786824/786824.jpg,4631,"0,08 €","0,25 €","0,24 €","0,19 €","0,17 €"
Growing Dread,,Uncommon,216,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788296/788296.jpg,10865,"0,02 €","0,12 €","0,09 €","0,12 €","0,16 €"
Hand That Feeds,,Common,139,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786851/786851.jpg,16405,"0,02 €","0,05 €","0,04 €","0,10 €","0,02 €"
Hardened Escort,,Common,16,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788258/788258.jpg,16307,"0,02 €","0,05 €","0,07 €","0,03 €","0,02 €"
Haunted Screen,,Uncommon,250,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788260/788260.jpg,9463,"0,02 €","0,08 €","0,05 €","0,04 €","0,03 €"
Hauntwoods Shrieker,,Mythic,182,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788282/788282.jpg,1721,"0,69 €","1,32 €","1,29 €","1,26 €","1,23 €"
Hedge Shredder,,Rare,183,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786559/786559.jpg,1269,"0,50 €","1,53 €","1,57 €","1,64 €","1,48 €"
Horrid Vigor,,Common,184,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788289/788289.jpg,15011,"0,02 €","0,07 €","0,08 €","0,08 €","0,12 €"
House Cartographer,,Uncommon,185,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788293/788293.jpg,8838,"0,02 €","0,12 €","0,09 €","0,10 €","0,08 €"
Hushwood Verge,,Rare,261,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786847/786847.jpg,1062,"3,97 €","5,07 €","4,77 €","4,82 €","3,73 €"
Impossible Inferno,,Common,140,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786818/786818.jpg,16343,"0,02 €","0,09 €","0,05 €","0,03 €","0,02 €"
Infernal Phantom,,Uncommon,141,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788272/788272.jpg,9545,"0,02 €","0,03 €","0,04 €","0,03 €","0,02 €"
Innocuous Rat,,Common,103,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786497/786497.jpg,15851,"0,02 €","0,14 €","0,05 €","0,03 €","0,02 €"
Inquisitive Glimmer,,Uncommon,217,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786811/786811.jpg,6028,£0.02,"0,20 €","0,20 €","0,19 €","0,12 €"
Insidious Fungus,,Uncommon,186,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788247/788247.jpg,3584,"0,05 €","0,37 €","0,39 €","0,38 €","0,35 €"
Intruding Soulrager,,Uncommon,218,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786602/786602.jpg,9776,"0,02 €","0,05 €","0,04 €","0,04 €","0,02 €"
Irreverent Gremlin,,Uncommon,142,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786519/786519.jpg,8147,"0,02 €","0,08 €","0,12 €","0,09 €","0,15 €"
Island,V.1,Land,273,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786627/786627.jpg,6230,"0,05 €","0,39 €","0,37 €","0,37 €","0,71 €"
Island,V.2,Land,279,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788178/788178.jpg,5379,"0,02 €","0,09 €","0,12 €","0,11 €","0,02 €"
Island,V.3,Land,280,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788285/788285.jpg,4959,"0,02 €","0,12 €","0,13 €","0,16 €","0,25 €"
Jump Scare,,Common,17,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788222/788222.jpg,16519,"0,02 €","0,07 €","0,09 €","0,04 €","0,02 €"
"Kaito, Bane of Nightmares",,Mythic,220,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786604/786604.jpg,706,£13.00,"21,14 €","20,12 €","20,63 €","23,79 €"
Keys to the House,,Uncommon,251,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786817/786817.jpg,9428,"0,02 €","0,16 €","0,09 €","0,14 €","0,05 €"
Killer's Mask,,Uncommon,104,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788135/788135.jpg,9536,"0,02 €","0,06 €","0,04 €","0,04 €","0,15 €"
"Kona, Rescue Beastie",,Rare,187,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786828/786828.jpg,1886,"0,30 €","0,80 €","0,80 €","0,78 €","0,66 €"
Lakeside Shack,,Common,262,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786836/786836.jpg,9898,"0,02 €","0,09 €","0,10 €","0,07 €","0,12 €"
Let's Play a Game,,Uncommon,105,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788243/788243.jpg,8614,"0,02 €","0,10 €","0,09 €","0,13 €","0,02 €"
Leyline of Hope,,Rare,18,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788217/788217.jpg,3545,"0,10 €","0,39 €","0,35 €","0,38 €","0,43 €"
Leyline of Mutation,,Rare,188,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788245/788245.jpg,5841,"0,05 €","0,16 €","0,20 €","0,15 €","0,09 €"
Leyline of Resonance,,Rare,143,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786854/786854.jpg,3605,"0,09 €","0,37 €","0,47 €","0,48 €","0,42 €"
Leyline of the Void,,Rare,106,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788254/788254.jpg,3128,"0,10 €","0,36 €","0,46 €","0,44 €","0,28 €"
Leyline of Transformation,,Rare,63,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788126/788126.jpg,4656,"0,04 €","0,26 €","0,26 €","0,25 €","0,34 €"
Lionheart Glimmer,,Uncommon,19,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786373/786373.jpg,8993,"0,02 €","0,08 €","0,07 €","0,10 €","0,12 €"
Live or Die,,Uncommon,107,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786498/786498.jpg,8271,"0,02 €","0,10 €","0,10 €","0,12 €","0,14 €"
Living Phone,,Common,20,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788174/788174.jpg,16561,"0,02 €","0,08 €","0,08 €","0,04 €","0,05 €"
Malevolent Chandelier,,Common,252,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788297/788297.jpg,16426,"0,02 €","0,05 €","0,04 €","0,03 €","0,02 €"
Manifest Dread,,Common,189,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786879/786879.jpg,16070,"0,02 €","0,06 €","0,08 €","0,08 €","0,02 €"
Marina Vendrell,,Rare,221,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786606/786606.jpg,5445,"0,05 €","0,14 €","0,14 €","0,15 €","0,05 €"
Marina Vendrell's Grimoire,,Rare,64,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786398/786398.jpg,5436,"0,05 €","0,18 €","0,12 €","0,08 €","0,20 €"
"Marvin, Murderous Mimic",,Rare,253,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788283/788283.jpg,1480,"0,46 €","1,20 €","1,20 €","1,25 €","1,00 €"
Meat Locker // Drowned Diner,,Common,65,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788419/788419.jpg,15426,"0,02 €","0,12 €","0,09 €","0,14 €","0,02 €"
Meathook Massacre II,,Mythic,108,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788268/788268.jpg,1927,"1,30 €","2,26 €","2,16 €","2,29 €","2,73 €"
Miasma Demon,,Uncommon,109,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786499/786499.jpg,9293,"0,02 €","0,16 €","0,09 €","0,13 €","0,02 €"
Midnight Mayhem,,Uncommon,222,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788270/788270.jpg,9335,"0,02 €","0,06 €","0,08 €","0,06 €","0,02 €"
Mirror Room // Fractured Realm,,Mythic,67,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788244/788244.jpg,1360,"0,90 €","1,76 €","1,87 €","1,83 €","1,78 €"
Moldering Gym // Weight Room,,Common,190,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788220/788220.jpg,16051,"0,02 €","0,14 €","0,08 €","0,16 €","0,14 €"
Monstrous Emergence,,Common,191,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788281/788281.jpg,14946,"0,02 €","0,11 €","0,10 €","0,13 €","0,41 €"
Most Valuable Slayer,,Common,144,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786521/786521.jpg,16347,"0,02 €","0,02 €","0,05 €","0,02 €","0,03 €"
Mountain,V.1,Land,275,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786629/786629.jpg,6305,"0,10 €","0,31 €","0,37 €","0,34 €","0,20 €"
Mountain,V.2,Land,283,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788131/788131.jpg,4100,"0,02 €","0,10 €","0,12 €","0,11 €","0,05 €"
Mountain,V.3,Land,284,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788303/788303.jpg,3606,"0,04 €","0,17 €","0,14 €","0,24 €","0,15 €"
Murder,,Common,110,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788267/788267.jpg,15727,"0,02 €","0,07 €","0,05 €","0,07 €","0,05 €"
Murky Sewer,,Common,263,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786619/786619.jpg,9643,"0,02 €","0,10 €","0,11 €","0,13 €","0,19 €"
"Nashi, Searcher in the Dark",,Rare,223,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788242/788242.jpg,4969,"0,05 €","0,14 €","0,26 €","0,19 €","0,11 €"
Neglected Manor,,Common,264,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786620/786620.jpg,9583,"0,02 €","0,02 €","0,14 €","0,08 €","0,02 €"
"Niko, Light of Hope",,Mythic,224,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788132/788132.jpg,2378,"0,15 €","0,38 €","0,34 €","0,42 €","0,22 €"
"Norin, Swift Survivalist",,Uncommon,145,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788133/788133.jpg,7925,"0,02 €","0,12 €","0,13 €","0,12 €","0,02 €"
Nowhere to Run,,Uncommon,111,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788238/788238.jpg,3491,"0,20 €","0,96 €","0,95 €","0,92 €","0,43 €"
Oblivious Bookworm,,Uncommon,225,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786607/786607.jpg,7541,"0,02 €","0,11 €","0,14 €","0,07 €","0,13 €"
Omnivorous Flytrap,,Rare,192,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788426/788426.jpg,4060,£0.02,"0,13 €","0,15 €","0,13 €","0,09 €"
Optimistic Scavenger,,Uncommon,21,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788224/788224.jpg,5225,£0.02,"0,11 €","0,17 €","0,15 €","0,19 €"
Orphans of the Wheat,,Uncommon,22,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788239/788239.jpg,9241,"0,02 €","0,03 €","0,04 €","0,03 €","0,02 €"
Osseous Sticktwister,,Uncommon,112,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786500/786500.jpg,7829,"0,02 €","0,17 €","0,13 €","0,14 €","0,08 €"
Overgrown Zealot,,Uncommon,193,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786875/786875.jpg,10244,"0,02 €","0,15 €","0,12 €","0,11 €","0,11 €"
Overlord of the Balemurk,,Mythic,113,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788257/788257.jpg,621,£18.75,"25,95 €","26,07 €","25,59 €","22,45 €"
Overlord of the Boilerbilges,,Mythic,146,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786526/786526.jpg,1190,"1,99 €","2,61 €","2,96 €","2,71 €","2,78 €"
Overlord of the Floodpits,,Mythic,68,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786407/786407.jpg,1197,"2,20 €","3,62 €","3,46 €","3,57 €","4,02 €"
Overlord of the Hauntwoods,,Mythic,194,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786809/786809.jpg,1505,"10,00 €","10,96 €","11,12 €","11,07 €","11,00 €"
Overlord of the Mistmoors,,Mythic,23,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786821/786821.jpg,1118,£4.15,"6,04 €","6,60 €","6,41 €","5,76 €"
Painter's Studio // Defaced Gallery,,Uncommon,147,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786871/786871.jpg,7807,"0,02 €","0,10 €","0,11 €","0,11 €","0,19 €"
Paranormal Analyst,,Uncommon,69,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786845/786845.jpg,8355,"0,02 €","0,08 €","0,12 €","0,12 €","0,02 €"
Patched Plaything,,Uncommon,24,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786374/786374.jpg,9050,"0,02 €","0,06 €","0,06 €","0,08 €","0,05 €"
Patchwork Beastie,,Uncommon,195,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786560/786560.jpg,6983,£0.02,"0,17 €","0,17 €","0,20 €","0,02 €"
Peculiar Lighthouse,,Common,265,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786621/786621.jpg,9444,"0,02 €","0,16 €","0,15 €","0,13 €","0,23 €"
Peer Past the Veil,,Rare,226,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788299/788299.jpg,5709,"0,05 €","0,11 €","0,17 €","0,15 €","0,16 €"
Piggy Bank,,Uncommon,148,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788240/788240.jpg,8189,"0,02 €","0,13 €","0,13 €","0,13 €","0,07 €"
Piranha Fly,,Common,70,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788280/788280.jpg,16878,"0,02 €","0,04 €","0,03 €","0,03 €","0,02 €"
Plains,V.1,Land,272,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786626/786626.jpg,8357,"0,02 €","0,24 €","0,36 €","0,28 €","0,32 €"
Plains,V.2,Land,277,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786631/786631.jpg,4030,"0,02 €","0,12 €","0,14 €","0,17 €","0,10 €"
Plains,V.3,Land,278,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788284/788284.jpg,4030,"0,02 €","0,11 €","0,15 €","0,12 €","0,15 €"
Popular Egotist,,Uncommon,114,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788301/788301.jpg,8865,"0,02 €","0,26 €","0,13 €","0,23 €","0,49 €"
Possessed Goat,,Common,25,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786375/786375.jpg,16626,"0,02 €","0,05 €","0,04 €","0,05 €","0,02 €"
Pyroclasm,,Uncommon,149,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788226/788226.jpg,6130,"0,02 €","0,24 €","0,25 €","0,22 €","0,10 €"
Ragged Playmate,,Common,150,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/786529/786529.jpg,16013,"0,02 €","0,09 €","0,10 €","0,09 €","0,10 €"
Rampaging Soulrager,,Common,151,Duskmourn: House of Horror,https://product-images.s3.cardmarket.com/1/DSK/788223/788223.jpg,16741,"0,02 €","0,03 €","0,03 €","0,02 €","0,02 €"
